Index,Time,Protocol,Src_IP,Dst_IP,Src_Port,Dst_Port,Total_Len,IP_ID,TTL,TOS,TCP_Flags,ICMP_Type,ICMP_Code
1,20:59:21,ICMP,192.168.100.1,192.168.100.6,0,0,84,43964,64,0,------,8,0
2,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,52,55818,128,0,S-----,0,0
3,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1424,38782,128,0,-A----,0,0
4,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1424,38783,128,0,-A----,0,0
5,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,745,38784,128,0,-A--P-,0,0
6,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,40,32760,53,0,-A----,0,0
7,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,52,27500,109,0,SA----,0,0
8,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,40,55819,128,0,-A----,0,0
9,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,597,55820,128,0,-A--P-,0,0
10,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1424,38785,128,0,-A----,0,0
11,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1424,38786,128,0,-A----,0,0
12,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1220,38787,128,0,-A--P-,0,0
13,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,40,32761,53,0,-A----,0,0
14,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,1452,27501,109,0,-A----,0,0
15,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,1452,27502,109,0,-A----,0,0
16,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,1452,27503,109,0,-A----,0,0
17,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,1452,27504,109,0,-A----,0,0
18,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,1452,27505,109,0,-A----,0,0
19,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,1452,27506,109,0,-A----,0,0
20,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,74,27507,109,0,-A--P-,0,0
21,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,40,55821,128,0,-A----,0,0
22,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1424,38788,128,0,-A----,0,0
23,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1424,38789,128,0,-A----,0,0
24,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,1168,38790,128,0,-A--P-,0,0
25,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,120,55822,128,0,-A--P-,0,0
26,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,1026,55823,128,0,-A--P-,0,0
27,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,40,32762,53,0,-A----,0,0
28,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,40,32763,53,0,-A----,0,0
29,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,40,27508,109,0,-A----,0,0
30,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,143,27509,109,0,-A--P-,0,0
31,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,40,55824,128,0,-A----,0,0
32,20:59:21,TCP,20.42.73.25,192.168.100.6,443,64946,485,27510,109,0,-A--P-,0,0
33,20:59:21,TCP,192.168.100.6,20.42.73.25,64946,443,40,55825,128,0,-A----,0,0
34,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,1370,32764,53,0,-A--P-,0,0
35,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,200,32765,53,0,-A--P-,0,0
36,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,40,38791,128,0,-A----,0,0
37,20:59:21,TCP,192.168.100.6,23.200.40.170,53347,443,75,38792,128,0,-A--P-,0,0
38,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,40,32766,53,0,-A----,0,0
39,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,976,32767,53,0,-A--P-,0,0
40,20:59:21,TCP,23.200.40.170,192.168.100.6,443,53347,1452,32768,53,0,-A----,0,0
